character,text
YODA,"The very Republic is threatened, if involved the Sith are."
YODA,"Hard to see, the dark side is. Discover who this assassin is, we must."
YODA,"With this Naboo queen you must stay, Qui-Gon. Protect her."
YODA,May the Force be with you.
YODA,(Cont'd) Master Qui-Gon more to say have you?
YODA,"A vergence, you say?"
YODA,But you do! Rrevealed your opinion is.
YODA,"Trained as a Jedi, you request for him?"
YODA,Tested he will be.
YODA,"Good, good, young one. How feel you?"
YODA,Afraid are you?
YODA,"See through you, we can."
YODA,Afraid to lose her..I think.
YODA,Eveything. Fear is the path to the dark side... fear leads to anger... anger leads to hate.. hate leads to suffering.
YODA,"A Jedi must have the deepest commitment, the most serious mind. I sense much fear in you."
YODA,"Then continue, we will."
YODA,"...Correct you were, Qui-Gon."
YODA,"Clouded, this boy's future is. Masked by his youth."
YODA,"An apprentice, you have, Qui-Gon. Impossible, to take on a second."
YODA,"Ready so early, are you? What know you of ready?"
YODA,"Our own council we will keep on who is ready. More to learn, he has..."
YODA,And draw out the Queen's attacker.
YODA,Young Skywalker's fate will be decided later.
YODA,"Train him not. Take him with you, but train him not!"
YODA,May the Force be with you.
YODA,"Confer on you, the level of Jedi Knight the Coucil does. But agree on you taking this boy as your Padawan learner, I do not."
YODA,"The Chosen One the boy may be; nevertheless, grave danger I fear in his training."
YODA,"Qui-Gon's defiance I sense in you. Need that, you do not. Agree, the council does. Your apprentice, young Skywalker will be."
YODA,Always two there are....no more...no less. A master and an apprentice.
YODA, Premonitions . . . premonitions . . . Hmmmm . . . these visions you have . . .
YODA," Yourself you speak of, or someone you know?"
YODA, . . . close to you?
YODA," Careful you must be when sensing the future, Anakin. The fear of loss is a path to the dark side."
YODA," Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not. Attachment leads to jealousy. The shadow of greed, that is."
YODA, Train yourself to let go of everything you fear to lose.
YODA," Allow this appointment lightly, the Council does not. Disturbing is this move by Chancellor Palpatine."
YODA," Hiding in the Outer Rim, Grievous is. The outlying systems, you must sweep."
YODA," Master Kenobi, our spies contact, you must, and then wait."
YODA," Go, I will. Good relations with the Wookiees, I have."
